Idade,Campanha,Estado_civil,Educacao,Inadimplencia,conta_corrente,Casa_Propria,Emprestimo,Contato,dia,mes,duracao,campanha,dias_anterior,Anterior,Res_anterior,Sucesso
44,"servicos","solteiro","segundo","nao",106,"nao","nao","outro",12,"jun",109,2,-1,0,"desconhecido","nao"
44,"empreendedor","casado","segundo","nao",93,"nao","nao","celular",7,"jul",125,2,-1,0,"desconhecido","nao"
26,"domestica","casado","superior","nao",543,"nao","nao","celular",30,"jan",169,3,-1,0,"desconhecido","nao"
41,"gestao","casado","superior","nao",5883,"nao","nao","celular",20,"nov",182,2,-1,0,"desconhecido","nao"
55,"manufatura","casado","primeiro","nao",627,"sim","nao","outro",5,"mai",247,1,-1,0,"desconhecido","nao"
67,"aposentado","casado","desconhecido","nao",696,"nao","nao","telefone",17,"ago",119,1,105,2,"fracassou","nao"
56,"autonomo","casado","segundo","nao",784,"nao","sim","celular",30,"jul",149,2,-1,0,"desconhecido","nao"
53,"gerencia","casado","segundo","nao",105,"nao","sim","celular",21,"ago",74,2,-1,0,"desconhecido","nao"
68,"aposentado","divorciado","segundo","nao",4189,"nao","nao","telefone",14,"jul",897,2,-1,0,"desconhecido","sim"
31,"tecnico","casado","segundo","nao",171,"nao","nao","celular",27,"ago",81,3,-1,0,"desconhecido","nao"
59,"gestao","casado","segundo","nao",42,"nao","nao","celular",21,"nov",40,1,-1,0,"desconhecido","nao"
32,"gestao","solteiro","superior","nao",2536,"sim","nao","celular",26,"ago",958,6,-1,0,"desconhecido","sim"
49,"tecnico","casado","superior","nao",1235,"nao","nao","celular",13,"ago",354,3,-1,0,"desconhecido","sim"
42,"gerencia","divorciado","segundo","nao",1811,"sim","nao","outro",14,"mai",150,1,-1,0,"desconhecido","nao"
78,"aposentado","divorciado","primeiro","nao",229,"nao","nao","telefone",22,"oct",97,1,-1,0,"desconhecido","sim"
32,"manufatura","casado","segundo","nao",2089,"sim","nao","celular",14,"nov",132,1,-1,0,"desconhecido","sim"
33,"gestao","casado","segundo","nao",3935,"sim","nao","celular",6,"mai",765,1,342,2,"fracassou","sim"
23,"servicos","solteiro","superior","nao",363,"sim","nao","outro",30,"mai",16,18,-1,0,"desconhecido","nao"
38,"gestao","solteiro","superior","nao",11971,"sim","nao","outro",17,"nov",609,2,101,3,"fracassou","nao"
36,"gestao","solteiro","superior","nao",553,"nao","nao","celular",11,"ago",106,2,-1,0,"desconhecido","nao"
52,"manufatura","casado","segundo","nao",1117,"sim","nao","celular",13,"mai",365,1,-1,0,"desconhecido","nao"
32,"tecnico","casado","superior","nao",396,"sim","nao","celular",13,"mai",205,3,-1,0,"desconhecido","nao"
32,"tecnico","solteiro","superior","nao",2204,"sim","nao","celular",21,"nov",11,4,-1,0,"desconhecido","nao"
34,"gestao","solteiro","superior","nao",872,"sim","nao","outro",7,"mai",105,2,-1,0,"desconhecido","nao"
55,"manufatura","casado","primeiro","nao",145,"nao","nao","telefone",2,"fev",59,3,5,2,"outro","nao"
26,"manufatura","casado","primeiro","nao",0,"sim","nao","outro",21,"mai",425,1,-1,0,"desconhecido","nao"
32,"empreendedor","solteiro","primeiro","sim",-849,"sim","sim","celular",4,"fev",204,1,-1,0,"desconhecido","nao"
61,"gerencia","casado","desconhecido","nao",4629,"sim","nao","celular",27,"jan",181,1,92,1,"sucesso","sim"
45,"manufatura","divorciado","primeiro","nao",844,"nao","nao","outro",5,"jun",1018,3,-1,0,"desconhecido","sim"
37,"tecnico","solteiro","segundo","nao",228,"sim","nao","celular",20,"ago",1740,2,-1,0,"desconhecido","nao"
38,"tecnico","solteiro","segundo","nao",50,"nao","nao","celular",29,"ago",98,2,-1,0,"desconhecido","nao"
34,"tecnico","casado","superior","nao",1539,"sim","nao","celular",15,"jun",441,1,56,1,"outro","sim"
53,"manufatura","casado","segundo","nao",2231,"sim","nao","celular",14,"jul",272,3,-1,0,"desconhecido","nao"
48,"gerencia","casado","segundo","nao",3064,"sim","nao","telefone",15,"jul",159,2,-1,0,"desconhecido","nao"
57,"gestao","casado","segundo","nao",82,"nao","sim","telefone",4,"fev",140,1,-1,0,"desconhecido","nao"
33,"autonomo","solteiro","superior","nao",2155,"nao","nao","celular",17,"nov",295,1,-1,0,"desconhecido","nao"
36,"aposentado","solteiro","segundo","nao",101,"sim","sim","outro",26,"mai",314,1,-1,0,"desconhecido","nao"
54,"tecnico","divorciado","segundo","nao",784,"sim","sim","outro",15,"mai",579,1,-1,0,"desconhecido","nao"
41,"manufatura","casado","primeiro","nao",-516,"nao","sim","telefone",8,"jul",554,3,-1,0,"desconhecido","nao"
63,"aposentado","casado","segundo","nao",415,"sim","nao","celular",7,"oct",323,1,-1,0,"desconhecido","nao"
48,"gestao","casado","superior","nao",5887,"nao","nao","celular",13,"ago",227,2,-1,0,"desconhecido","nao"
48,"servicos","casado","segundo","nao",1355,"nao","nao","celular",4,"jul",134,2,-1,0,"desconhecido","nao"
56,"gerencia","casado","segundo","nao",16873,"nao","nao","celular",7,"oct",223,1,-1,0,"desconhecido","nao"
51,"manufatura","divorciado","segundo","nao",203,"sim","nao","celular",8,"mai",134,1,170,5,"fracassou","nao"
31,"servicos","casado","segundo","nao",338,"sim","nao","celular",28,"jan",155,1,-1,0,"desconhecido","nao"
29,"tecnico","casado","segundo","nao",444,"sim","nao","celular",21,"jul",130,4,-1,0,"desconhecido","nao"
41,"gestao","casado","segundo","nao",0,"nao","sim","celular",7,"jul",630,3,-1,0,"desconhecido","nao"
32,"tecnico","solteiro","superior","nao",360,"nao","nao","celular",19,"nov",164,2,-1,0,"desconhecido","nao"
37,"gestao","casado","superior","nao",0,"nao","nao","celular",16,"jul",268,2,182,3,"sucesso","sim"
42,"empreendedor","divorciado","superior","sim",2,"sim","nao","outro",5,"mai",380,1,-1,0,"desconhecido","nao"
31,"gestao","solteiro","superior","nao",6248,"sim","nao","outro",9,"mai",154,2,-1,0,"desconhecido","nao"
41,"servicos","casado","superior","nao",412,"sim","nao","outro",3,"jun",154,5,-1,0,"desconhecido","nao"
56,"aposentado","casado","segundo","nao",344,"sim","nao","outro",15,"mai",221,1,-1,0,"desconhecido","nao"
54,"gestao","divorciado","superior","nao",3222,"nao","nao","celular",14,"ago",67,2,-1,0,"desconhecido","nao"
41,"manufatura","divorciado","segundo","nao",174,"sim","nao","celular",14,"mai",367,2,297,1,"outro","nao"
40,"tecnico","solteiro","segundo","nao",591,"nao","sim","celular",14,"ago",87,6,-1,0,"desconhecido","nao"
50,"manufatura","divorciado","primeiro","nao",388,"nao","nao","celular",5,"fev",701,1,-1,0,"desconhecido","nao"
40,"desempregado","casado","segundo","nao",219,"sim","nao","celular",17,"nov",204,2,196,1,"fracassou","nao"
27,"gerencia","divorciado","segundo","nao",451,"sim","nao","celular",16,"jul",652,1,-1,0,"desconhecido","sim"
60,"aposentado","casado","primeiro","nao",5,"nao","nao","celular",26,"ago",63,2,-1,0,"desconhecido","nao"
28,"gerencia","solteiro","segundo","nao",177,"sim","sim","celular",6,"mai",150,1,-1,0,"desconhecido","nao"
52,"servicos","casado","segundo","nao",657,"nao","nao","telefone",7,"jul",398,2,460,2,"fracassou","sim"
37,"gestao","casado","superior","nao",1315,"nao","nao","celular",30,"jun",224,1,-1,0,"desconhecido","sim"
51,"manufatura","casado","primeiro","nao",1466,"sim","nao","outro",7,"mai",406,2,-1,0,"desconhecido","nao"
41,"tecnico","solteiro","segundo","nao",879,"nao","sim","celular",7,"jul",60,4,-1,0,"desconhecido","nao"
35,"manufatura","solteiro","primeiro","nao",293,"sim","nao","outro",30,"mai",521,2,-1,0,"desconhecido","nao"
38,"gerencia","casado","segundo","nao",424,"sim","nao","celular",17,"abr",279,1,-1,0,"desconhecido","nao"
34,"manufatura","casado","segundo","nao",1831,"sim","nao","outro",20,"mai",203,2,-1,0,"desconhecido","nao"
39,"manufatura","casado","primeiro","nao",111,"nao","nao","celular",18,"nov",201,2,-1,0,"desconhecido","nao"
34,"manufatura","casado","primeiro","nao",455,"sim","nao","outro",20,"jun",372,3,-1,0,"desconhecido","nao"
27,"servicos","solteiro","segundo","nao",-195,"sim","nao","celular",18,"mai",391,1,-1,0,"desconhecido","sim"
32,"gestao","solteiro","superior","nao",3616,"nao","nao","celular",14,"ago",165,2,-1,0,"desconhecido","nao"
57,"manufatura","casado","segundo","nao",14093,"nao","nao","celular",11,"ago",231,5,-1,0,"desconhecido","nao"
41,"desconhecido","solteiro","superior","nao",1567,"nao","nao","celular",1,"jul",291,2,-1,0,"desconhecido","nao"
41,"gerencia","casado","superior","nao",5426,"sim","nao","outro",14,"mai",149,2,-1,0,"desconhecido","nao"
30,"gerencia","solteiro","superior","nao",261,"nao","nao","celular",19,"oct",233,1,137,20,"fracassou","nao"
36,"manufatura","divorciado","segundo","nao",2843,"nao","nao","celular",12,"fev",473,1,182,1,"sucesso","nao"
31,"desempregado","solteiro","primeiro","nao",406,"nao","nao","celular",4,"fev",736,1,-1,0,"desconhecido","sim"
36,"manufatura","casado","segundo","nao",0,"sim","nao","outro",6,"mai",337,1,-1,0,"desconhecido","nao"
38,"gestao","solteiro","superior","nao",493,"sim","nao","celular",11,"mai",553,1,367,7,"fracassou","nao"
49,"tecnico","casado","segundo","nao",5996,"nao","nao","telefone",21,"nov",345,2,-1,0,"desconhecido","nao"
57,"servicos","solteiro","primeiro","nao",3777,"sim","nao","telefone",13,"mai",65,2,-1,0,"desconhecido","nao"
34,"gestao","solteiro","segundo","nao",524,"nao","nao","outro",13,"ago",9,1,-1,0,"desconhecido","nao"
32,"gestao","solteiro","superior","nao",574,"sim","nao","celular",14,"abr",259,2,145,3,"fracassou","nao"
37,"manufatura","casado","segundo","nao",427,"sim","sim","outro",9,"jun",371,3,-1,0,"desconhecido","nao"
33,"autonomo","casado","superior","nao",483,"sim","nao","celular",3,"fev",280,2,-1,0,"desconhecido","nao"
56,"desempregado","casado","primeiro","nao",3391,"nao","nao","celular",21,"abr",243,1,-1,0,"desconhecido","sim"
27,"domestica","casado","primeiro","nao",0,"sim","nao","celular",23,"jul",435,3,-1,0,"desconhecido","nao"
21,"student","solteiro","segundo","nao",2488,"nao","nao","celular",30,"jun",258,6,169,3,"sucesso","sim"
58,"gestao","casado","superior","nao",1517,"sim","nao","telefone",29,"jul",7,5,-1,0,"desconhecido","nao"
32,"autonomo","casado","segundo","nao",217,"sim","sim","celular",15,"jul",317,5,-1,0,"desconhecido","nao"
33,"manufatura","solteiro","segundo","nao",22,"nao","nao","celular",30,"jan",76,2,207,1,"fracassou","nao"
25,"student","solteiro","segundo","nao",331,"nao","nao","telefone",26,"ago",170,4,-1,0,"desconhecido","sim"
25,"tecnico","solteiro","segundo","nao",505,"nao","sim","celular",17,"nov",386,2,-1,0,"desconhecido","sim"
30,"servicos","casado","segundo","nao",1808,"sim","nao","celular",18,"mai",83,2,-1,0,"desconhecido","nao"
22,"gerencia","solteiro","segundo","nao",4111,"nao","sim","celular",19,"ago",65,1,-1,0,"desconhecido","nao"
39,"manufatura","casado","primeiro","nao",52,"nao","nao","celular",13,"ago",69,1,-1,0,"desconhecido","nao"
46,"gestao","divorciado","superior","nao",25,"nao","nao","outro",17,"jun",564,2,-1,0,"desconhecido","nao"
31,"gerencia","divorciado","segundo","nao",1890,"sim","nao","celular",21,"jul",588,1,-1,0,"desconhecido","nao"
45,"manufatura","casado","primeiro","nao",419,"nao","nao","celular",18,"ago",113,4,-1,0,"desconhecido","nao"
32,"tecnico","casado","segundo","nao",2693,"sim","nao","outro",21,"mai",16,1,-1,0,"desconhecido","nao"
36,"manufatura","casado","segundo","nao",-231,"nao","sim","celular",15,"jul",779,2,-1,0,"desconhecido","nao"
51,"gestao","solteiro","superior","sim",-55,"sim","nao","celular",11,"mai",281,2,266,6,"fracassou","nao"
34,"autonomo","solteiro","superior","nao",462,"nao","nao","celular",21,"ago",1877,3,-1,0,"desconhecido","sim"
24,"desempregado","solteiro","segundo","nao",119,"nao","nao","outro",15,"sep",51,1,-1,0,"desconhecido","nao"
45,"tecnico","solteiro","segundo","nao",586,"nao","sim","celular",28,"jul",32,3,-1,0,"desconhecido","nao"
32,"manufatura","solteiro","segundo","nao",228,"nao","nao","telefone",5,"fev",176,1,288,3,"fracassou","nao"
77,"aposentado","divorciado","superior","nao",4659,"nao","nao","celular",14,"abr",161,1,-1,0,"desconhecido","sim"
41,"manufatura","casado","primeiro","nao",168,"sim","nao","celular",18,"nov",187,3,-1,0,"desconhecido","nao"
37,"manufatura","casado","primeiro","nao",0,"sim","nao","outro",26,"mai",24,1,-1,0,"desconhecido","nao"
43,"manufatura","casado","desconhecido","sim",-715,"sim","nao","outro",30,"mai",67,3,-1,0,"desconhecido","nao"
48,"gerencia","casado","desconhecido","nao",0,"sim","nao","celular",8,"mai",85,1,168,2,"fracassou","nao"
27,"tecnico","solteiro","segundo","nao",769,"sim","nao","outro",9,"mai",317,2,-1,0,"desconhecido","nao"
33,"gestao","solteiro","superior","nao",0,"nao","nao","celular",28,"ago",236,10,-1,0,"desconhecido","nao"
29,"gerencia","solteiro","segundo","nao",428,"sim","sim","celular",7,"mai",54,1,345,2,"fracassou","nao"
34,"gestao","solteiro","superior","nao",0,"nao","nao","celular",5,"fev",71,1,-1,0,"desconhecido","nao"
52,"gestao","casado","superior","nao",-970,"sim","nao","celular",4,"fev",489,1,-1,0,"desconhecido","sim"
60,"gestao","casado","desconhecido","nao",6313,"nao","nao","outro",19,"jun",39,2,-1,0,"desconhecido","nao"
32,"gestao","divorciado","superior","nao",948,"nao","nao","celular",12,"ago",204,2,-1,0,"desconhecido","nao"
32,"gestao","solteiro","superior","nao",0,"sim","nao","celular",22,"jul",455,2,-1,0,"desconhecido","nao"
56,"servicos","divorciado","desconhecido","nao",1877,"sim","nao","outro",30,"mai",86,1,-1,0,"desconhecido","nao"
31,"gestao","solteiro","superior","nao",874,"sim","nao","celular",18,"nov",190,2,-1,0,"desconhecido","nao"
42,"gerencia","casado","segundo","nao",323,"sim","sim","outro",8,"mai",280,2,-1,0,"desconhecido","nao"
35,"gestao","casado","superior","nao",106,"nao","sim","celular",11,"ago",588,2,-1,0,"desconhecido","nao"
56,"aposentado","casado","primeiro","nao",1906,"nao","sim","outro",19,"jun",45,9,-1,0,"desconhecido","nao"
48,"tecnico","casado","segundo","nao",1152,"sim","nao","celular",21,"jul",168,5,-1,0,"desconhecido","nao"
46,"gerencia","casado","segundo","nao",179,"sim","nao","celular",29,"jan",194,4,436,1,"outro","nao"
37,"tecnico","solteiro","desconhecido","nao",391,"sim","nao","outro",8,"mai",103,3,-1,0,"desconhecido","nao"
41,"empreendedor","casado","desconhecido","nao",89,"sim","nao","outro",6,"mai",333,2,-1,0,"desconhecido","nao"
36,"gestao","solteiro","superior","nao",442,"sim","sim","celular",29,"jul",102,3,-1,0,"desconhecido","nao"
45,"desempregado","divorciado","primeiro","sim",-249,"sim","sim","outro",1,"jul",92,1,-1,0,"desconhecido","nao"
55,"empreendedor","casado","segundo","nao",8104,"nao","nao","celular",6,"fev",213,2,-1,0,"desconhecido","nao"
39,"tecnico","casado","segundo","nao",501,"nao","nao","outro",26,"mai",289,1,-1,0,"desconhecido","nao"
35,"tecnico","divorciado","segundo","nao",308,"nao","nao","celular",22,"ago",77,2,-1,0,"desconhecido","nao"
55,"gerencia","casado","segundo","nao",602,"nao","nao","celular",1,"jun",324,3,90,2,"sucesso","sim"
55,"tecnico","casado","segundo","nao",273,"sim","nao","celular",29,"jan",84,3,183,3,"fracassou","nao"
27,"autonomo","solteiro","segundo","nao",50,"nao","nao","celular",29,"jan",168,1,-1,0,"desconhecido","nao"
34,"tecnico","casado","segundo","nao",1641,"sim","nao","celular",17,"abr",380,1,-1,0,"desconhecido","nao"
34,"manufatura","casado","superior","nao",20,"nao","nao","outro",4,"oct",10,1,-1,0,"desconhecido","nao"
25,"gerencia","solteiro","segundo","nao",4590,"sim","nao","outro",28,"mai",199,2,-1,0,"desconhecido","nao"
41,"gerencia","solteiro","segundo","nao",-256,"nao","sim","outro",9,"mai",35,3,-1,0,"desconhecido","nao"
43,"servicos","casado","segundo","nao",978,"sim","sim","outro",26,"mai",82,2,-1,0,"desconhecido","nao"
28,"gestao","solteiro","superior","nao",80,"nao","nao","celular",20,"oct",676,2,146,2,"fracassou","sim"
31,"gerencia","solteiro","segundo","nao",2104,"sim","nao","outro",3,"jun",455,1,-1,0,"desconhecido","nao"
78,"domestica","casado","segundo","nao",499,"nao","nao","telefone",16,"mar",80,4,-1,0,"desconhecido","nao"
45,"manufatura","divorciado","segundo","nao",1269,"sim","nao","celular",29,"jan",549,2,-1,0,"desconhecido","nao"
48,"tecnico","casado","superior","nao",310,"nao","nao","outro",6,"mai",135,1,-1,0,"desconhecido","nao"
32,"manufatura","solteiro","segundo","nao",1143,"sim","sim","celular",10,"jul",412,1,-1,0,"desconhecido","nao"
42,"tecnico","casado","segundo","nao",2980,"nao","nao","outro",20,"jun",101,3,-1,0,"desconhecido","nao"
37,"gestao","solteiro","superior","nao",37,"nao","nao","celular",28,"jan",253,2,-1,0,"desconhecido","nao"
40,"gerencia","solteiro","segundo","nao",462,"sim","sim","celular",6,"abr",272,1,335,4,"outro","nao"
32,"gerencia","casado","segundo","nao",1031,"sim","nao","celular",17,"jul",84,1,-1,0,"desconhecido","nao"
42,"gestao","casado","superior","nao",9009,"nao","nao","celular",20,"nov",135,2,-1,0,"desconhecido","nao"
43,"gerencia","casado","segundo","nao",-465,"sim","sim","celular",23,"jul",166,1,-1,0,"desconhecido","nao"
44,"gerencia","casado","segundo","nao",5181,"sim","sim","celular",31,"jul",18,7,-1,0,"desconhecido","nao"
37,"gerencia","casado","segundo","nao",176,"sim","nao","celular",5,"mai",147,2,347,1,"fracassou","nao"
37,"desconhecido","casado","desconhecido","nao",1699,"nao","nao","outro",9,"jun",63,1,-1,0,"desconhecido","nao"
37,"gerencia","casado","superior","nao",0,"sim","nao","celular",17,"nov",65,2,119,1,"fracassou","nao"
28,"tecnico","solteiro","superior","nao",172,"sim","sim","celular",2,"fev",194,2,-1,0,"desconhecido","nao"
32,"servicos","solteiro","segundo","nao",0,"nao","sim","celular",11,"jul",333,2,-1,0,"desconhecido","nao"
34,"gerencia","solteiro","segundo","nao",6979,"sim","nao","celular",15,"mai",14,5,-1,0,"desconhecido","nao"
40,"gerencia","divorciado","segundo","nao",6,"nao","nao","outro",11,"jun",140,1,-1,0,"desconhecido","nao"
34,"servicos","casado","segundo","nao",-62,"sim","nao","outro",16,"jun",109,3,-1,0,"desconhecido","nao"
34,"autonomo","casado","superior","nao",1972,"sim","nao","celular",23,"jul",61,2,-1,0,"desconhecido","nao"
34,"gerencia","casado","superior","nao",899,"sim","nao","telefone",19,"nov",377,3,7,4,"sucesso","nao"
37,"servicos","solteiro","segundo","nao",21,"sim","nao","celular",2,"fev",96,1,271,2,"outro","nao"
36,"tecnico","casado","segundo","nao",23,"sim","nao","celular",8,"mai",152,2,347,1,"fracassou","nao"
56,"aposentado","casado","segundo","nao",-1206,"sim","nao","celular",15,"jun",382,2,-1,0,"desconhecido","sim"
49,"manufatura","casado","primeiro","nao",0,"sim","sim","telefone",23,"jul",97,6,-1,0,"desconhecido","nao"
33,"autonomo","casado","segundo","nao",215,"sim","nao","celular",29,"jul",543,12,-1,0,"desconhecido","nao"
30,"gestao","solteiro","superior","nao",1372,"nao","nao","celular",20,"nov",240,2,-1,0,"desconhecido","nao"
36,"servicos","casado","segundo","nao",1981,"nao","nao","outro",17,"jun",48,2,-1,0,"desconhecido","nao"
23,"student","solteiro","segundo","nao",9216,"nao","nao","celular",5,"jun",471,2,-1,0,"desconhecido","nao"
57,"aposentado","divorciado","segundo","nao",39,"sim","nao","celular",30,"jul",354,3,-1,0,"desconhecido","nao"
27,"manufatura","solteiro","segundo","nao",5563,"sim","nao","outro",30,"mai",435,2,-1,0,"desconhecido","nao"
38,"servicos","casado","segundo","nao",1,"nao","sim","celular",21,"nov",152,2,-1,0,"desconhecido","nao"
42,"tecnico","casado","superior","nao",782,"nao","nao","celular",3,"abr",285,1,-1,0,"desconhecido","nao"
75,"aposentado","casado","segundo","nao",3771,"nao","nao","telefone",15,"abr",185,1,181,2,"sucesso","sim"
34,"tecnico","solteiro","superior","nao",992,"sim","nao","celular",4,"mai",301,1,88,2,"sucesso","nao"
48,"tecnico","casado","segundo","nao",1526,"nao","nao","celular",6,"ago",273,2,-1,0,"desconhecido","nao"
35,"tecnico","solteiro","superior","nao",2658,"sim","nao","celular",19,"ago",768,2,141,3,"fracassou","sim"
39,"gestao","divorciado","superior","nao",1315,"sim","nao","celular",19,"nov",1337,4,126,1,"fracassou","nao"
29,"manufatura","solteiro","superior","nao",455,"nao","nao","telefone",21,"abr",403,1,-1,0,"desconhecido","sim"
45,"tecnico","solteiro","superior","nao",0,"sim","nao","celular",18,"nov",139,2,-1,0,"desconhecido","nao"
42,"tecnico","casado","segundo","nao",2030,"sim","sim","celular",9,"jul",196,1,-1,0,"desconhecido","nao"
29,"tecnico","casado","segundo","nao",1599,"sim","nao","celular",8,"jul",115,1,61,1,"fracassou","nao"
38,"servicos","solteiro","segundo","nao",-196,"sim","nao","celular",2,"fev",60,1,271,1,"fracassou","nao"
56,"aposentado","casado","segundo","nao",1333,"nao","nao","celular",28,"ago",17,14,-1,0,"desconhecido","nao"
36,"tecnico","solteiro","segundo","nao",9149,"sim","nao","celular",13,"ago",141,3,-1,0,"desconhecido","nao"
25,"manufatura","solteiro","segundo","nao",-350,"sim","nao","outro",23,"jun",95,3,-1,0,"desconhecido","nao"
38,"tecnico","casado","superior","nao",432,"sim","nao","celular",15,"mai",10,2,373,1,"outro","nao"
57,"autonomo","casado","segundo","nao",11494,"nao","nao","celular",19,"nov",198,1,-1,0,"desconhecido","nao"
31,"gestao","casado","superior","sim",-253,"nao","nao","celular",12,"ago",220,4,-1,0,"desconhecido","nao"
42,"gestao","casado","superior","nao",372,"sim","nao","celular",3,"ago",654,2,-1,0,"desconhecido","sim"
45,"tecnico","casado","segundo","nao",1410,"nao","nao","celular",11,"ago",71,2,-1,0,"desconhecido","nao"
30,"manufatura","casado","segundo","nao",975,"sim","nao","celular",13,"mai",256,2,351,2,"fracassou","nao"
49,"manufatura","casado","primeiro","nao",305,"sim","sim","telefone",10,"jul",834,10,-1,0,"desconhecido","nao"
49,"servicos","casado","segundo","nao",400,"nao","nao","celular",21,"ago",151,3,-1,0,"desconhecido","nao"
53,"aposentado","casado","superior","nao",-22,"sim","nao","celular",31,"jul",20,3,-1,0,"desconhecido","nao"
37,"tecnico","casado","segundo","nao",4030,"sim","nao","outro",26,"mai",178,5,-1,0,"desconhecido","nao"
49,"manufatura","casado","primeiro","nao",365,"nao","nao","outro",26,"mai",59,2,-1,0,"desconhecido","nao"
41,"autonomo","casado","primeiro","nao",204,"nao","nao","celular",13,"ago",111,7,-1,0,"desconhecido","nao"
54,"gestao","casado","primeiro","nao",1691,"sim","nao","celular",20,"nov",186,1,-1,0,"desconhecido","nao"
32,"servicos","solteiro","segundo","nao",406,"sim","nao","outro",6,"mai",227,1,-1,0,"desconhecido","nao"
33,"tecnico","casado","segundo","nao",-204,"nao","nao","celular",15,"mai",297,3,-1,0,"desconhecido","nao"
33,"tecnico","casado","segundo","nao",359,"sim","nao","celular",20,"abr",210,1,242,1,"outro","nao"
36,"manufatura","casado","primeiro","nao",123,"sim","nao","celular",18,"mai",9,1,-1,0,"desconhecido","nao"
35,"tecnico","casado","superior","nao",0,"sim","sim","celular",23,"sep",112,1,62,6,"outro","nao"
52,"desconhecido","casado","segundo","nao",142,"nao","nao","celular",25,"ago",112,6,-1,0,"desconhecido","nao"
40,"empreendedor","casado","superior","nao",3571,"nao","nao","outro",9,"jun",222,3,-1,0,"desconhecido","nao"
44,"tecnico","solteiro","segundo","nao",33,"sim","nao","celular",13,"mai",195,3,351,10,"fracassou","nao"
45,"manufatura","solteiro","segundo","nao",0,"sim","nao","celular",26,"jul",768,2,91,5,"sucesso","nao"
30,"student","solteiro","segundo","nao",3096,"nao","nao","celular",26,"jan",123,1,-1,0,"desconhecido","nao"
48,"tecnico","divorciado","segundo","sim",20,"nao","nao","celular",27,"ago",145,3,-1,0,"desconhecido","nao"
33,"manufatura","casado","segundo","nao",3576,"sim","nao","celular",2,"abr",124,1,308,2,"outro","nao"
57,"tecnico","casado","desconhecido","nao",206,"sim","nao","outro",5,"mai",216,3,-1,0,"desconhecido","nao"
57,"domestica","casado","primeiro","nao",7082,"nao","nao","outro",6,"jun",69,3,-1,0,"desconhecido","nao"
51,"desempregado","casado","superior","nao",1634,"sim","nao","celular",22,"jul",168,4,-1,0,"desconhecido","nao"
34,"gerencia","solteiro","segundo","nao",1,"sim","nao","celular",22,"jul",483,7,-1,0,"desconhecido","nao"
50,"autonomo","casado","superior","nao",4012,"nao","nao","celular",19,"nov",690,3,-1,0,"desconhecido","nao"
44,"gestao","casado","superior","nao",3762,"nao","nao","celular",28,"ago",125,12,-1,0,"desconhecido","nao"
27,"gerencia","casado","segundo","nao",-247,"sim","sim","outro",4,"jun",344,2,-1,0,"desconhecido","nao"
