Rank,Country,(%),Date of Information
143,Zimbabwe,7.00,2008
144,Sierra Leone,6.80,2008
145,Senegal,6.80,2008
146,Nigeria,6.50,2008
147,Angola,6.40,2008
148,Philippines,6.30,2008
149,Cote d'Ivoire,6.20,2008
150,Sudan,6.00,2008
151,Benin,6.00,2008
152,China,5.70,2008
153,Pakistan,5.50,2008
154,Bhutan,5.30,2008
155,Sri Lanka,5.10,2008
156,Tanzania,5.00,2008
157,Japan,5.00,2008
158,Mozambique,4.90,2008
159,Guinea-Bissau,4.90,2008
160,Indonesia,4.80,2008
161,Liberia,4.80,2008
162,Somalia,4.80,2008
163,"Congo, Republic of the",4.70,2008
164,Comoros,4.40,2008
165,Guinea,4.40,2008
166,Mali,4.30,2008
167,Uganda,4.30,2008
168,Malawi,4.30,2008
169,Togo,4.30,2008
170,Rwanda,4.30,2008
171,Kenya,4.20,2008
172,Burma,4.00,2008
173,"Korea, North",3.90,2008
174,Zambia,3.60,2008
175,Central African Republic,3.50,2008
176,Burundi,2.90,2008
177,Chad,2.70,2008
178,Timor-Leste,2.70,2008
179,Laos,2.60,2008
180,Niger,2.40,2008
181,Burkina Faso,2.30,2008
182,Afghanistan,2.20,2008
183,Cambodia,2.10,2008
184,India,1.90,2008
185,"Congo, Democratic Republic of the",1.70,2008
186,Vietnam,1.70,2008
187,Madagascar,1.60,2008
188,Eritrea,1.50,2008
189,Nepal,1.40,2008
190,Bangladesh,1.10,2008
191,Ethiopia,1.10,2008
