Código IBGE do Município,Código da Unidade da Federação,Sigla da Unidade da Federação,Nome das Grandes Regiões,Automóvel - Tipo de Veículo,Caminhão - Tipo de Veículo,Caminhão trator - Tipo de Veículo,Caminhonete - Tipo de Veículo,Camioneta - Tipo de Veículo,Micro-ônibus - Tipo de Veículo,Motocicleta - Tipo de Veículo,Motoneta - Tipo de Veículo,Ônibus - Tipo de Veículo,Outros - Tipo de Veículo,Total de Veículos,Trator de rodas - Tipo de Veículo,Utilitário - Tipo de Veículo
110030,11,RO,Norte,13106,1535,1201,4121,572,57,12512,5783,163,3040,42265,3,172
110032,11,RO,Norte,1261,255,8,393,38,9,3757,743,62,62,6588,0,0
110033,11,RO,Norte,884,228,23,471,50,2,3067,603,26,65,5423,0,4
110034,11,RO,Norte,912,257,20,387,51,7,3431,911,62,57,6099,0,4
110037,11,RO,Norte,473,117,3,205,15,10,2055,269,20,14,3184,0,3
110040,11,RO,Norte,823,252,28,318,27,5,2576,665,54,93,4845,0,4
110045,11,RO,Norte,1556,437,25,867,71,6,7239,1793,31,97,12136,1,13
110050,11,RO,Norte,513,88,4,174,10,0,1885,237,15,10,2937,0,1
110060,11,RO,Norte,254,61,2,149,9,2,759,76,15,23,1351,0,1
110070,11,RO,Norte,239,58,2,112,21,3,997,231,18,9,1690,0,0
110080,11,RO,Norte,1113,156,29,299,42,3,1683,215,20,123,3687,0,4
110090,11,RO,Norte,204,30,3,47,5,1,424,60,12,6,792,0,0
110092,11,RO,Norte,379,125,37,165,20,6,966,140,31,62,1932,0,1
110094,11,RO,Norte,495,184,12,239,11,6,1834,512,18,54,3369,1,3
110100,11,RO,Norte,400,55,0,159,12,1,1810,178,14,2,2631,0,0
110110,11,RO,Norte,411,114,1,177,17,3,756,214,45,34,1774,0,2
110120,11,RO,Norte,576,165,3,250,12,3,2131,318,14,26,3499,0,1
110130,11,RO,Norte,639,179,6,231,30,6,3252,679,26,20,5071,0,3
110140,11,RO,Norte,726,249,8,334,28,11,2539,756,54,49,4762,0,8
110143,11,RO,Norte,280,50,0,82,7,1,1238,182,17,8,1868,0,3
110145,11,RO,Norte,160,27,0,85,8,2,650,72,15,1,1020,0,0
110146,11,RO,Norte,97,11,0,37,5,1,101,22,11,3,288,0,0
110147,11,RO,Norte,185,29,0,81,4,3,447,55,11,1,816,0,0
110148,11,RO,Norte,327,69,0,133,8,2,1224,161,22,9,1957,0,2
110149,11,RO,Norte,717,243,7,373,22,3,2867,552,53,31,4873,0,5
110150,11,RO,Norte,570,187,29,207,19,5,2283,376,24,54,3758,1,3
110155,11,RO,Norte,216,33,1,72,7,0,948,141,11,8,1438,0,1
110160,11,RO,Norte,446,69,1,130,11,2,1173,199,19,17,2069,0,2
110170,11,RO,Norte,680,100,0,199,13,2,3307,526,60,16,4904,0,1
110175,11,RO,Norte,303,76,1,98,14,3,1121,166,14,13,1809,0,0
110180,11,RO,Norte,355,59,0,108,8,0,1514,193,15,6,2258,0,0
120001,12,AC,Norte,710,190,8,252,35,4,1964,223,34,33,3456,0,3
120005,12,AC,Norte,167,16,0,70,8,2,487,63,2,3,818,0,0
120010,12,AC,Norte,1278,167,36,452,58,2,2237,706,9,84,5035,0,6
120013,12,AC,Norte,319,83,1,140,12,3,500,20,5,7,1092,0,2
120017,12,AC,Norte,312,68,0,119,7,1,490,79,8,13,1098,0,1
120020,12,AC,Norte,3915,557,34,1537,212,51,9596,3238,50,59,19325,1,75
120025,12,AC,Norte,900,164,27,358,35,1,1299,460,11,49,3311,0,7
120030,12,AC,Norte,295,85,0,237,24,1,987,294,2,3,1932,0,4
120032,12,AC,Norte,7,2,0,3,0,0,20,7,0,0,39,0,0
120033,12,AC,Norte,276,68,6,180,14,2,1264,255,8,15,2089,0,1
120034,12,AC,Norte,116,23,0,58,6,0,232,46,2,1,485,0,1
120035,12,AC,Norte,5,5,0,8,0,0,100,10,2,0,130,0,0
120038,12,AC,Norte,798,134,3,265,31,1,1420,269,11,24,2960,0,4
120039,12,AC,Norte,0,4,0,8,0,0,67,9,2,0,90,0,0
120040,12,AC,Norte,49355,3706,382,12383,2628,166,50209,7728,526,2187,129877,1,606
120042,12,AC,Norte,66,10,1,43,1,0,442,61,1,1,627,0,1
120043,12,AC,Norte,9,3,0,5,0,0,57,9,1,1,86,0,1
120045,12,AC,Norte,1239,297,9,456,42,5,1857,253,17,76,4260,0,9
120050,12,AC,Norte,878,84,4,491,36,3,2247,759,4,21,4541,0,14
120060,12,AC,Norte,336,128,2,249,34,10,1361,650,8,12,2793,0,3
120070,12,AC,Norte,504,58,3,200,15,3,1233,179,2,17,2217,0,3
120080,12,AC,Norte,443,136,3,190,34,2,1192,104,29,15,2148,0,0
130002,13,AM,Norte,6,5,0,13,0,0,258,87,3,0,372,0,0
130006,13,AM,Norte,1,2,0,6,2,0,120,66,1,0,198,0,0
130008,13,AM,Norte,5,0,0,2,1,0,63,10,3,1,85,0,0
130010,13,AM,Norte,11,2,0,26,3,0,209,73,3,0,327,0,0
130014,13,AM,Norte,116,80,2,145,21,1,1111,377,21,9,1886,0,3
130020,13,AM,Norte,7,1,0,13,3,0,165,87,1,0,277,0,0
130030,13,AM,Norte,124,24,0,68,15,2,688,232,11,11,1176,0,1
130040,13,AM,Norte,40,10,0,43,6,1,310,158,0,1,570,0,1
130050,13,AM,Norte,4,2,0,11,1,0,250,104,0,1,373,0,0
130060,13,AM,Norte,33,10,0,21,11,4,539,386,3,4,1012,0,1
130063,13,AM,Norte,3,0,0,16,0,0,159,37,0,0,215,0,0
130068,13,AM,Norte,4,3,0,12,1,0,149,33,1,0,203,0,0
130070,13,AM,Norte,333,36,10,75,7,2,843,259,5,26,1596,0,0
130080,13,AM,Norte,38,12,0,38,8,0,393,137,5,2,634,0,1
130083,13,AM,Norte,10,8,0,17,1,1,67,26,3,1,134,0,0
130090,13,AM,Norte,4,2,0,8,2,0,74,27,0,2,119,0,0
130100,13,AM,Norte,39,33,0,64,14,1,916,327,1,0,1396,0,1
130110,13,AM,Norte,153,55,1,120,67,23,521,78,48,16,1082,0,0
130115,13,AM,Norte,66,12,0,20,35,23,50,19,36,4,266,1,0
130120,13,AM,Norte,415,104,2,298,55,4,4839,1847,13,22,7601,0,2
130130,13,AM,Norte,14,8,0,28,6,0,310,72,4,1,444,0,1
130140,13,AM,Norte,58,23,0,49,12,0,550,328,5,0,1025,0,0
130150,13,AM,Norte,5,15,0,21,4,0,166,57,4,0,272,0,0
130160,13,AM,Norte,13,12,0,25,4,0,703,155,0,2,914,0,0
130165,13,AM,Norte,10,0,0,12,0,0,21,4,1,0,48,0,0
130170,13,AM,Norte,668,134,12,249,36,3,1877,1223,14,38,4261,0,7
130180,13,AM,Norte,4,2,0,7,3,0,5,0,0,0,21,0,0
130185,13,AM,Norte,785,184,7,378,127,14,1364,284,58,51,3260,0,8
130190,13,AM,Norte,2199,331,32,668,130,25,8136,5288,127,122,17064,0,6
130195,13,AM,Norte,4,2,0,9,2,0,133,28,0,0,178,0,0
130200,13,AM,Norte,83,12,3,33,1,1,236,52,2,6,429,0,0
130210,13,AM,Norte,1,4,0,5,2,0,99,23,1,0,135,0,0
130220,13,AM,Norte,0,6,0,14,1,0,171,44,1,1,238,0,0
130230,13,AM,Norte,4,2,0,16,2,0,315,57,0,1,397,0,0
130240,13,AM,Norte,79,21,0,60,8,1,667,269,3,4,1114,0,2
130250,13,AM,Norte,1812,261,24,681,252,59,4734,1835,69,79,9818,0,12
130255,13,AM,Norte,33,8,0,30,9,4,163,26,5,10,288,0,0
130260,13,AM,Norte,291254,16102,2366,59967,21967,2812,108016,10630,7338,14336,538517,51,3678
130270,13,AM,Norte,53,31,1,68,8,1,593,409,10,3,1178,0,1
130280,13,AM,Norte,4,4,0,13,5,0,180,71,0,1,278,0,0
130290,13,AM,Norte,253,35,0,139,36,2,1883,1077,9,7,3445,0,4
130300,13,AM,Norte,7,7,0,2,2,0,199,101,1,0,319,0,0
130310,13,AM,Norte,28,15,0,32,6,6,484,240,6,6,824,0,1
130320,13,AM,Norte,196,20,19,62,21,6,349,48,12,1,735,0,1
130330,13,AM,Norte,14,14,0,25,0,2,337,104,6,0,502,0,0
130340,13,AM,Norte,981,133,3,264,72,6,6519,4586,22,31,12625,0,8
130350,13,AM,Norte,4,2,0,8,3,1,59,9,1,0,87,0,0
130353,13,AM,Norte,1140,241,50,488,146,40,1466,305,69,125,4086,1,15
130356,13,AM,Norte,488,117,7,327,61,13,1102,163,62,12,2358,0,6
130360,13,AM,Norte,9,7,0,10,5,2,178,81,3,0,295,0,0
130370,13,AM,Norte,3,6,0,16,3,0,484,140,0,0,652,0,0
130380,13,AM,Norte,1013,72,1,255,54,11,596,386,24,10,2424,0,2
130390,13,AM,Norte,7,4,0,16,6,0,521,155,5,0,714,0,0
130395,13,AM,Norte,6,5,0,4,0,0,129,26,0,2,172,0,0
130400,13,AM,Norte,30,10,0,22,10,5,132,26,3,2,240,0,0
130406,13,AM,Norte,661,55,0,125,78,7,2676,1713,3,6,5328,0,4
130410,13,AM,Norte,19,3,0,22,4,0,195,83,2,3,331,0,0
130420,13,AM,Norte,696,60,0,251,45,14,4561,2086,11,28,7756,0,4
130423,13,AM,Norte,2,3,0,6,3,0,241,88,1,1,345,0,0
130426,13,AM,Norte,2,8,0,7,1,0,252,35,2,0,307,0,0
130430,13,AM,Norte,11,13,0,27,2,2,342,134,2,2,535,0,0
130440,13,AM,Norte,12,5,0,11,5,0,264,72,2,7,378,0,0
140002,14,RR,Norte,86,19,0,69,12,5,193,17,2,0,403,0,0
140005,14,RR,Norte,316,50,1,174,28,5,704,46,7,3,1334,0,0
140010,14,RR,Norte,45663,3068,376,15103,3131,394,50821,13029,641,1965,134915,2,722
140015,14,RR,Norte,146,14,6,87,16,1,209,35,1,16,532,0,1
140017,14,RR,Norte,276,29,2,101,41,5,397,48,11,4,916,0,2
140020,14,RR,Norte,526,96,12,182,40,6,1071,246,7,23,2213,0,4
140023,14,RR,Norte,138,32,1,83,25,5,857,149,25,6,1322,0,1
140028,14,RR,Norte,158,22,0,69,7,16,361,70,1,1,705,0,0
140030,14,RR,Norte,541,97,3,185,39,34,1493,322,33,11,2762,0,4
140040,14,RR,Norte,75,11,0,52,8,0,229,24,1,2,404,0,2
140045,14,RR,Norte,671,42,1,200,55,3,236,39,6,9,1263,0,1
140047,14,RR,Norte,427,101,7,233,39,19,1927,279,13,26,3073,0,2
140050,14,RR,Norte,154,41,0,59,21,9,765,187,4,0,1240,0,0
140060,14,RR,Norte,142,33,1,70,12,4,716,144,4,4,1130,0,0
140070,14,RR,Norte,2,1,0,9,1,0,14,0,0,0,27,0,0
150010,15,PA,Norte,2983,301,19,396,265,21,9978,3828,227,210,18241,0,13
150013,15,PA,Norte,170,63,8,89,7,6,422,75,3,19,865,0,3
150020,15,PA,Norte,278,69,0,110,31,5,1326,142,55,15,2031,0,0
150030,15,PA,Norte,2,0,2,4,0,0,2,1,0,2,13,0,0
150034,15,PA,Norte,186,64,3,138,10,7,1186,173,15,12,1794,0,0
150040,15,PA,Norte,610,155,0,358,30,4,3747,446,41,5,5404,0,8
150050,15,PA,Norte,1014,214,11,230,128,19,946,285,109,33,2998,1,8
150060,15,PA,Norte,5916,1569,36,2665,515,136,18344,5281,232,302,35163,0,167
150070,15,PA,Norte,5,0,0,4,1,0,81,27,1,1,120,0,0
150080,15,PA,Norte,44471,4011,698,5432,2775,388,24919,2566,1337,2822,89980,3,558
150085,15,PA,Norte,142,74,5,147,17,10,1198,137,7,18,1761,0,6
150090,15,PA,Norte,375,40,0,133,15,3,862,62,54,11,1556,0,1
150095,15,PA,Norte,363,64,1,79,13,6,890,29,54,28,1528,0,1
150100,15,PA,Norte,6,3,0,12,2,0,107,13,3,7,153,0,0
150110,15,PA,Norte,6,1,0,0,0,0,49,9,2,0,67,0,0
150120,15,PA,Norte,150,39,5,66,13,2,555,142,14,2,991,0,3
150125,15,PA,Norte,54,12,1,43,6,0,325,32,0,2,476,0,1
150130,15,PA,Norte,5911,833,125,971,543,186,5111,1847,636,345,16594,6,80
150140,15,PA,Norte,195646,8204,918,23200,14755,1644,77536,10597,3284,8039,348088,7,4258
150145,15,PA,Norte,331,36,0,81,18,4,794,157,27,7,1456,0,1
150150,15,PA,Norte,2452,581,110,457,178,48,2637,415,102,371,7381,0,30
150157,15,PA,Norte,321,70,0,131,12,9,1030,160,6,17,1759,0,3
150160,15,PA,Norte,196,55,6,49,19,3,349,45,41,40,805,0,2
150170,15,PA,Norte,3290,396,7,889,114,27,5505,1373,155,115,11894,0,23
150172,15,PA,Norte,301,172,6,255,22,19,2161,223,10,10,3193,0,14
150175,15,PA,Norte,92,21,1,48,1,7,435,91,7,5,709,0,1
150178,15,PA,Norte,734,248,31,327,29,7,2715,491,81,109,4784,0,12
150180,15,PA,Norte,518,41,0,114,29,1,2920,806,6,18,4470,0,17
150190,15,PA,Norte,241,41,2,73,23,7,613,86,21,22,1130,0,1
150195,15,PA,Norte,218,31,2,74,11,3,445,65,21,4,875,0,1
150200,15,PA,Norte,37,10,0,16,6,5,302,31,11,7,425,0,0
150210,15,PA,Norte,644,117,3,174,59,11,4509,547,55,10,6143,0,14
150215,15,PA,Norte,1486,219,18,750,69,59,3739,1101,103,96,7670,0,30
150220,15,PA,Norte,4532,630,246,939,209,25,6568,2478,101,654,16418,0,36
150230,15,PA,Norte,1090,324,7,389,40,26,2681,585,76,81,5317,0,18
150240,15,PA,Norte,14853,2487,344,3352,809,156,19622,5569,356,2005,49724,0,171
150250,15,PA,Norte,1,0,0,1,2,0,4,0,0,0,8,0,0
150260,15,PA,Norte,63,4,0,24,4,0,247,29,4,5,381,0,1
150270,15,PA,Norte,2052,334,19,852,92,36,6097,1868,66,177,11619,0,26
150275,15,PA,Norte,439,126,1,129,39,9,1518,209,49,36,2558,0,3
150276,15,PA,Norte,52,20,1,43,1,1,423,45,6,5,597,0,0
150277,15,PA,Norte,476,98,3,255,27,89,2037,512,17,29,3548,0,5
150280,15,PA,Norte,10,1,0,4,0,0,136,14,2,0,167,0,0
150285,15,PA,Norte,9,4,0,14,1,1,222,15,4,0,272,0,2
150290,15,PA,Norte,459,44,0,117,35,9,914,108,15,28,1729,0,0
150293,15,PA,Norte,1161,512,65,549,47,52,3260,1101,42,233,7049,0,27
150295,15,PA,Norte,484,144,4,235,21,33,2640,561,11,26,4164,0,5
150300,15,PA,Norte,9,2,0,5,0,1,34,9,1,0,61,0,0
150304,15,PA,Norte,196,96,4,195,17,2,1464,257,7,74,2316,0,4
150307,15,PA,Norte,294,77,2,88,12,4,506,69,17,12,1082,0,1
150309,15,PA,Norte,526,290,37,323,37,16,1934,750,32,109,4061,0,7
150310,15,PA,Norte,9,6,0,6,0,0,121,27,3,0,172,0,0
150320,15,PA,Norte,779,157,2,236,43,63,1372,411,69,38,3175,0,5
150330,15,PA,Norte,447,68,3,89,59,22,1863,438,29,33,3052,0,1
150340,15,PA,Norte,160,34,6,50,7,1,370,59,31,22,741,0,1
150345,15,PA,Norte,327,64,4,115,13,4,742,108,36,22,1439,0,4
150350,15,PA,Norte,374,69,2,138,11,2,1012,78,44,28,1759,0,1
150360,15,PA,Norte,3894,789,34,1869,324,32,11858,3246,98,277,22542,1,120
150370,15,PA,Norte,569,166,5,409,41,89,2812,735,24,18,4869,0,1
150375,15,PA,Norte,25,12,1,33,4,1,156,33,1,3,270,0,1
150380,15,PA,Norte,1227,600,83,884,81,19,6815,1973,43,271,12009,0,13
150390,15,PA,Norte,196,71,0,154,22,12,1012,138,12,10,1642,2,13
150400,15,PA,Norte,7,0,0,0,1,0,106,6,3,0,123,0,0
150405,15,PA,Norte,1103,270,18,265,45,18,3454,471,68,117,5838,0,9
150410,15,PA,Norte,41,5,0,12,6,26,140,19,7,2,258,0,0
150420,15,PA,Norte,20640,3407,567,7105,1244,330,29991,8288,541,1905,74349,5,326
150430,15,PA,Norte,160,29,1,60,12,11,516,83,21,3,896,0,0
150440,15,PA,Norte,390,33,1,61,19,14,657,69,27,32,1305,0,2
150442,15,PA,Norte,5376,761,230,781,276,115,5423,711,374,822,14918,0,49
150445,15,PA,Norte,361,170,2,258,51,11,2606,178,26,5,3676,0,8
150450,15,PA,Norte,9,2,0,3,1,0,82,14,2,2,115,0,0
150460,15,PA,Norte,144,16,0,40,13,2,663,74,12,1,966,0,1
150470,15,PA,Norte,726,143,23,210,59,22,2946,384,146,71,4741,0,11
150480,15,PA,Norte,911,233,3,604,57,9,5328,799,125,20,8102,0,13
150490,15,PA,Norte,19,3,0,7,5,3,171,36,12,0,256,0,0
150495,15,PA,Norte,153,65,0,84,10,3,371,67,16,6,775,0,0
150497,15,PA,Norte,300,136,22,153,13,5,1209,215,25,37,2118,0,3
150500,15,PA,Norte,379,55,4,84,38,4,529,70,16,35,1215,0,1
150503,15,PA,Norte,645,398,41,815,76,5,3366,733,24,143,6266,0,20
150506,15,PA,Norte,717,368,8,627,56,24,6238,957,43,26,9071,0,7
150510,15,PA,Norte,630,165,0,453,48,1,2170,423,47,14,3968,0,17
150520,15,PA,Norte,11,8,1,5,1,1,216,22,6,4,277,0,2
150530,15,PA,Norte,1458,346,7,575,129,14,2999,571,35,24,6173,0,15
150540,15,PA,Norte,357,164,13,111,11,3,511,89,16,31,1309,0,3
150543,15,PA,Norte,1089,229,11,526,58,12,4723,1020,35,68,7794,0,23
150548,15,PA,Norte,267,114,11,308,36,19,3189,416,9,15,4387,0,3
150549,15,PA,Norte,72,28,1,25,3,7,289,35,5,4,470,0,1
150550,15,PA,Norte,5273,1347,252,2006,264,30,10443,3028,159,1095,24020,0,123
150553,15,PA,Norte,12749,1746,143,4663,608,646,16061,7087,1096,847,45930,2,282
150555,15,PA,Norte,107,15,1,34,2,9,621,87,5,2,884,0,1
150560,15,PA,Norte,243,19,0,33,12,4,256,45,13,8,633,0,0
150563,15,PA,Norte,32,22,2,48,6,1,520,83,6,4,726,0,2
150565,15,PA,Norte,96,73,0,71,10,5,908,109,2,1,1277,0,2
150570,15,PA,Norte,37,6,0,8,4,1,321,97,4,2,480,0,0
150580,15,PA,Norte,82,21,0,33,3,0,596,189,7,1,934,0,2
150590,15,PA,Norte,57,17,2,27,4,0,318,139,5,0,570,0,1
150600,15,PA,Norte,43,23,1,60,5,0,472,59,3,3,673,0,4
150610,15,PA,Norte,235,13,1,38,16,1,285,36,14,8,649,0,2
150611,15,PA,Norte,122,9,0,46,5,2,151,25,9,3,372,0,0
150613,15,PA,Norte,7218,1274,85,3068,275,70,20264,5790,121,579,38915,0,171
150616,15,PA,Norte,739,247,17,556,30,40,2822,842,29,66,5407,0,19
150618,15,PA,Norte,1504,470,93,815,86,47,4805,1559,22,211,9627,0,15
150619,15,PA,Norte,248,180,5,242,32,6,1802,411,12,10,2954,0,6
150620,15,PA,Norte,1023,142,4,232,63,30,1816,444,62,62,3896,0,18
150630,15,PA,Norte,229,36,1,47,34,27,802,149,25,8,1359,0,1
150635,15,PA,Norte,498,57,32,88,51,17,683,71,56,83,1647,0,11
150640,15,PA,Norte,4,4,0,1,2,1,61,2,1,0,76,0,0
150650,15,PA,Norte,2915,563,52,639,285,44,4326,1140,150,301,10440,4,21
150655,15,PA,Norte,435,115,13,129,16,12,837,112,27,60,1761,0,5
150658,15,PA,Norte,166,66,0,136,10,2,738,80,24,19,1243,0,2
150660,15,PA,Norte,978,264,9,230,68,19,1676,451,49,99,3850,0,7
150670,15,PA,Norte,728,181,14,466,30,10,4830,941,20,30,7263,0,13
150680,15,PA,Norte,22109,2444,78,5595,1287,110,29835,3170,610,907,66806,6,655
150690,15,PA,Norte,91,8,0,9,3,6,182,11,13,7,330,0,0
150700,15,PA,Norte,673,103,1,167,70,25,980,191,92,51,2359,0,6
150710,15,PA,Norte,177,24,1,69,21,0,368,91,5,7,764,0,1
150715,15,PA,Norte,469,137,7,201,27,26,2663,649,23,35,4246,0,9
150720,15,PA,Norte,223,38,0,63,15,0,661,40,22,10,1072,0,0
150730,15,PA,Norte,615,244,4,501,19,7,7115,1269,23,42,9848,0,9
150740,15,PA,Norte,318,38,2,72,40,37,690,121,29,21,1372,0,4
150745,15,PA,Norte,287,125,1,232,12,5,2770,618,12,18,4080,0,0
150746,15,PA,Norte,38,3,0,16,4,4,118,10,7,2,202,0,0
150747,15,PA,Norte,243,24,0,81,5,8,461,47,16,17,903,0,1
150750,15,PA,Norte,169,22,0,54,10,15,425,50,8,7,762,0,2
150760,15,PA,Norte,1267,396,26,357,52,26,3824,586,99,136,6790,0,21
150770,15,PA,Norte,6,4,0,1,1,1,114,21,1,1,150,0,0
150775,15,PA,Norte,125,27,1,98,4,4,523,78,4,11,875,0,0
150780,15,PA,Norte,54,22,6,42,2,4,267,51,3,3,455,0,1
150790,15,PA,Norte,276,35,1,52,25,2,955,262,10,13,1642,0,11
150795,15,PA,Norte,1422,647,104,742,112,38,7084,1620,127,291,12222,0,35
150796,15,PA,Norte,224,22,1,27,20,19,356,35,18,20,742,0,0
150797,15,PA,Norte,32,21,0,20,4,0,254,73,3,0,408,1,0
150800,15,PA,Norte,1272,498,76,651,82,16,3165,737,128,250,6906,0,31
150803,15,PA,Norte,297,23,6,92,19,7,579,34,28,10,1095,0,0
150805,15,PA,Norte,96,102,6,148,13,3,914,166,9,19,1480,0,4
150808,15,PA,Norte,1453,497,31,1011,60,24,11173,1917,85,154,16448,0,43
150810,15,PA,Norte,5524,857,96,1583,316,85,8825,2625,183,381,20571,0,96
150812,15,PA,Norte,387,167,63,241,20,19,1316,283,26,162,2699,0,15
150815,15,PA,Norte,614,476,13,515,51,16,4368,1041,23,36,7194,0,41
150820,15,PA,Norte,1116,124,1,273,85,20,1618,770,73,68,4156,0,8
150830,15,PA,Norte,310,57,0,133,26,3,1088,108,34,10,1770,0,1
150835,15,PA,Norte,163,22,0,89,20,9,484,75,8,2,874,0,2
150840,15,PA,Norte,2419,773,48,1457,98,28,10254,2925,74,273,18397,0,48
160005,16,AP,Norte,188,3,0,21,30,3,88,13,1,1,349,0,1
160010,16,AP,Norte,160,7,0,21,14,2,160,31,2,3,400,0,0
160015,16,AP,Norte,153,30,0,55,28,4,123,16,6,5,421,0,1
160020,16,AP,Norte,128,14,0,33,7,2,262,21,2,3,474,0,2
160021,16,AP,Norte,36,3,0,7,4,1,58,8,0,0,117,0,0
160023,16,AP,Norte,157,4,0,32,7,1,129,12,1,1,347,0,3
160025,16,AP,Norte,15,3,0,2,2,0,46,1,4,0,73,0,0
160027,16,AP,Norte,870,79,0,129,58,7,1478,393,9,12,3045,0,10
160030,16,AP,Norte,49578,2671,154,12596,2784,303,36396,6319,657,1615,113673,3,597
160040,16,AP,Norte,256,47,0,45,14,9,262,35,17,7,692,0,0
160050,16,AP,Norte,631,50,4,160,26,4,935,162,9,59,2048,0,8
160053,16,AP,Norte,417,27,1,65,53,3,570,86,9,18,1250,0,1
160055,16,AP,Norte,26,3,0,5,1,0,23,1,2,1,62,0,0
160060,16,AP,Norte,7010,535,72,1681,382,42,6069,1514,136,474,17968,2,51
160070,16,AP,Norte,91,12,0,20,12,3,179,12,1,2,332,0,0
160080,16,AP,Norte,56,1,0,11,0,0,84,25,1,3,181,0,0
170025,17,TO,Norte,100,12,2,31,10,1,190,24,1,5,376,0,0
170030,17,TO,Norte,313,68,26,127,16,9,741,243,15,103,1663,0,2
170035,17,TO,Norte,451,67,16,150,38,7,563,141,8,58,1501,0,2
170040,17,TO,Norte,275,63,6,99,8,0,478,118,6,21,1074,0,0
170070,17,TO,Norte,928,160,42,322,38,1,843,268,5,142,2755,0,6
170100,17,TO,Norte,363,69,7,162,25,2,1011,292,25,38,1995,0,1
170105,17,TO,Norte,73,15,0,42,8,3,201,58,5,1,406,0,0
170110,17,TO,Norte,259,54,4,89,10,12,373,97,2,21,922,0,1
170130,17,TO,Norte,114,70,10,68,11,2,297,97,14,35,718,0,0
170190,17,TO,Norte,140,25,1,52,12,1,347,83,6,13,681,0,1
170200,17,TO,Norte,771,92,4,348,43,8,1063,450,7,54,2845,0,5
170210,17,TO,Norte,22522,3676,585,8176,1146,135,25093,15178,550,3295,80832,3,473
170215,17,TO,Norte,199,144,59,37,9,6,268,62,35,90,910,0,1
170220,17,TO,Norte,1323,330,21,626,70,43,3732,1297,61,156,7661,0,2
170230,17,TO,Norte,318,42,4,123,13,5,948,215,10,38,1718,0,2
170240,17,TO,Norte,425,45,8,206,16,1,496,90,4,22,1314,0,1
170255,17,TO,Norte,686,193,13,338,37,36,2262,636,30,81,4316,0,4
170270,17,TO,Norte,149,8,0,45,3,0,220,16,3,7,451,0,0
170290,17,TO,Norte,318,42,4,137,15,19,1313,231,8,24,2112,0,1
170300,17,TO,Norte,198,409,96,110,15,13,461,338,20,133,1797,2,2
170305,17,TO,Norte,109,21,1,41,11,3,244,46,2,8,486,0,0
170307,17,TO,Norte,82,10,0,41,6,2,202,51,0,4,398,0,0
170310,17,TO,Norte,245,50,3,114,23,4,647,130,4,25,1246,0,1
170320,17,TO,Norte,145,33,0,64,12,1,674,97,7,4,1037,0,0
170330,17,TO,Norte,90,5,2,23,5,1,300,47,1,8,482,0,0
170360,17,TO,Norte,93,14,1,30,4,3,223,33,2,10,414,0,1
170370,17,TO,Norte,224,41,2,73,9,1,382,87,13,23,856,0,1
170380,17,TO,Norte,151,53,1,73,7,11,940,94,6,23,1360,0,1
170382,17,TO,Norte,47,5,0,15,2,0,123,56,1,3,253,0,1
