Country or Area,Year,Scope,Value,Value Footnotes
Algeria,1980,Alger,39.67784237,1
Algeria,1979,Alger,36.20603116,1
Algeria,1978,Alger,32.48623344,1
Algeria,1977,Alger,27.64223019,1
Algeria,1976,Alger,24.68292444,1
Algeria,1975,Alger,22.66596746,1
Algeria,1974,Alger,20.83086725,1
Algeria,1973,Alger,19.90505092,1
Algeria,1972,Alger,18.74778052,1
Algeria,1971,Alger,18.08648315,1
Algeria,1970,Alger,17.62357499,1
Algeria,1969,Alger,16.53243432,1
American Samoa,2006,Not applicable,125.7197697,2
American Samoa,2005,Not applicable,122.0729367,2
American Samoa,2004,Not applicable,116.1228407,2
American Samoa,2003,Not applicable,108.4452975,2
American Samoa,2002,Not applicable,103.3589251,2
American Samoa,2001,Not applicable,101.2476008,2
American Samoa,2000,Not applicable,100,2
American Samoa,1999,Not applicable,98.0806142,2
American Samoa,1998,Not applicable,97.2168906,"2,4"
American Samoa,1997,Not applicable,95.54030833,"2,6"
American Samoa,1996,Not applicable,93.51796697,2
American Samoa,1995,Not applicable,90.08611497,2
American Samoa,1994,Not applicable,88.18633976,2
American Samoa,1993,Not applicable,86.71554604,2
American Samoa,1992,Not applicable,86.34784762,2
American Samoa,1991,Not applicable,82.91599562,2
American Samoa,1990,Not applicable,79.42286055,2
American Samoa,1989,Not applicable,73.72353491,2
American Samoa,1988,Not applicable,70.65938134,2
American Samoa,1987,Not applicable,67.16624627,2
American Samoa,1986,Not applicable,64.34722498,2
American Samoa,1985,Not applicable,63.55054505,2
American Samoa,1984,Not applicable,62.93771434,2
American Samoa,1983,Not applicable,61.77333598,2
American Samoa,1982,Pago-Pago,100,7
American Samoa,1981,Pago-Pago,94.36363636,7
American Samoa,1980,Pago-Pago,87.13636364,7
American Samoa,1979,Pago-Pago,74.54545455,7
American Samoa,1978,Pago-Pago,63.40909091,7
American Samoa,1977,Pago-Pago,60,7
American Samoa,1976,Pago-Pago,57.22727273,7
American Samoa,1975,Pago-Pago,56.86363636,7
American Samoa,1974,Pago-Pago,47.72727273,7
Andorra,2008,Not applicable,125.26,"8,9"
Andorra,2007,Not applicable,122.82,"8,9"
Andorra,2006,Not applicable,118.24,"8,9"
Andorra,2005,Not applicable,114.57,"8,9"
Andorra,2004,Not applicable,111.13,"8,9"
Andorra,2003,Not applicable,107.53,"8,9"
Andorra,2002,Not applicable,104.52,"8,9"
Andorra,2001,Not applicable,100,"8,9"
Angola,2008,Luanda,2640.534307,
Angola,2007,Luanda,2347.679916,4
Angola,2006,Luanda,2091.624232,
Angola,2005,Luanda,1845.970149,
Angola,2004,Luanda,1501.211589,
Angola,2003,Luanda,1045.829675,
Angola,2002,Luanda,527.5856014,4
Angola,2001,Luanda,252.5690545,
Angola,2000,Luanda,100.0000024,
Angola,1999,Luanda,23.5300789,
Angola,1998,Luanda,6.757607745,
Angola,1997,Luanda,3.260129039,
Angola,1996,Luanda,1.021390956,
Angola,1995,Luanda,0.02405979,4
Angola,1994,Luanda,0.000868138,
Angola,1993,Luanda,8.27E-05,
Angola,1992,Luanda,5.59E-06,
Angola,1991,Luanda,1.40E-06,
Anguilla,2008,Not applicable,137.8568635,9
Anguilla,2007,Not applicable,129.0574893,9
Anguilla,2006,Not applicable,122.7023856,9
Anguilla,2005,Not applicable,113.511928,9
Anguilla,2004,Not applicable,108.3105201,9
Anguilla,2003,Not applicable,103.7641768,9
Anguilla,2002,Not applicable,100.5377395,9
Anguilla,2001,Not applicable,100,"9,10"
Anguilla,2000,Not applicable,100,9
Anguilla,1999,Not applicable,92.47136829,9
Anguilla,1998,Not applicable,91.85654008,9
Anguilla,1997,Not applicable,89.59614225,9
Anguilla,1996,Not applicable,89.05364678,9
Anguilla,1995,Not applicable,86.17239301,9
Anguilla,1994,Not applicable,84.79807113,9
Anguilla,1993,Not applicable,81.51295961,9
Anguilla,1992,Not applicable,79.04761905,9
Anguilla,1991,Not applicable,76.76311031,9
Anguilla,1990,Not applicable,73.37552743,9
Anguilla,1989,Not applicable,69.65641953,9
Anguilla,1988,Not applicable,66.38336347,9
Anguilla,1987,Not applicable,63.51416516,9
Anguilla,1986,Not applicable,61.92887282,9
Anguilla,1985,Not applicable,60.5244123,9
Antigua and Barbuda,2001,Not applicable,101.4859472,11
Antigua and Barbuda,2000,Not applicable,100,11
Antigua and Barbuda,1999,Not applicable,99.29523648,11
Antigua and Barbuda,1998,Not applicable,98.19139,11
Antigua and Barbuda,1997,Not applicable,94.97325295,11
Antigua and Barbuda,1996,Not applicable,94.7355014,11
Antigua and Barbuda,1995,Not applicable,91.93342957,"11,12"
Antigua and Barbuda,1994,Not applicable,89.68328097,11
Antigua and Barbuda,1993,Not applicable,84.91126773,"11,13"
Antigua and Barbuda,1991,Not applicable,105.6944444,11
Antigua and Barbuda,1990,Not applicable,100,11
Antigua and Barbuda,1989,Not applicable,93.45486111,11
Antigua and Barbuda,1988,Not applicable,89.73958333,11
Antigua and Barbuda,1987,Not applicable,84.39236111,11
Antigua and Barbuda,1986,Not applicable,81.42361111,11
Antigua and Barbuda,1985,Not applicable,81.00694444,11
Antigua and Barbuda,1984,Not applicable,80.20833333,11
Antigua and Barbuda,1983,Not applicable,77.23958333,11
Antigua and Barbuda,1982,Not applicable,75.46875,11
Antigua and Barbuda,1981,Not applicable,72.44791667,11
Antigua and Barbuda,1979,Not applicable,54.14930556,"11,12"
Antigua and Barbuda,1978,Not applicable,46.96180556,11
Antigua and Barbuda,1977,Not applicable,44.23611111,11
Antigua and Barbuda,1976,Not applicable,38.88888889,11
Antigua and Barbuda,1975,Not applicable,35.01909722,11
Antigua and Barbuda,1974,Not applicable,31.41319444,11
Antigua and Barbuda,1973,Not applicable,25.16145833,11
Antigua and Barbuda,1972,Not applicable,22.18229167,11
Antigua and Barbuda,1971,Not applicable,20.36111111,11
Antigua and Barbuda,1970,Not applicable,18.74479167,11
Antigua and Barbuda,1969,Not applicable,17.51909722,11
Argentina,2008,Buenos Aires,211.9379505,14
Argentina,2007,Buenos Aires,195.1898826,"4,14"
Argentina,2006,Buenos Aires,179.3573164,14
Argentina,2005,Buenos Aires,161.7300617,14
Argentina,2004,Buenos Aires,147.4880411,14
Argentina,2003,Buenos Aires,141.2684246,14
Argentina,2002,Buenos Aires,124.5225326,14
Argentina,2001,Buenos Aires,98.93296689,14
Argentina,2000,Buenos Aires,100,"4,14"
Argentina,1999,Buenos Aires,100.9475818,14
Argentina,1998,Buenos Aires,102.1392251,14
Argentina,1997,Buenos Aires,101.2034141,14
Argentina,1996,Buenos Aires,100.6713004,14
Argentina,1995,Buenos Aires,100.5148056,14
Argentina,1994,Buenos Aires,97.23213483,14
Argentina,1993,Buenos Aires,93.33330279,14
Argentina,1992,Buenos Aires,84.37939041,14
Argentina,1991,Buenos Aires,67.55758669,14
Argentina,1990,Buenos Aires,24.86735814,14
Argentina,1989,Buenos Aires,1.030145644,14
Argentina,1988,Buenos Aires,0.0312677,"4,14"
Argentina,1987,Buenos Aires,0.007058982,14
Argentina,1986,Buenos Aires,0.003051464,14
Argentina,1985,Buenos Aires,0.001605243,14
Argentina,1984,Buenos Aires,0.000207885,14
Argentina,1983,Buenos Aires,2.86E-05,14
Argentina,1982,Buenos Aires,6.45E-06,14
Argentina,1981,Buenos Aires,2.43E-06,14
Argentina,1980,Buenos Aires,1.19E-06,14
Argentina,1979,Buenos Aires,5.93E-07,14
Argentina,1978,Buenos Aires,2.29E-07,14
Argentina,1977,Buenos Aires,8.29E-08,"4,14"
Argentina,1976,Buenos Aires,3.14E-08,14
Argentina,1975,Buenos Aires,5.77E-09,14
Argentina,1974,Buenos Aires,2.04E-09,14
Argentina,1973,Buenos Aires,1.64E-09,14
Argentina,1972,Buenos Aires,1.02E-09,14
Argentina,1971,Buenos Aires,6.47E-10,14
Argentina,1970,Buenos Aires,4.80E-10,14
Argentina,1969,Buenos Aires,4.23E-10,14
Armenia,2008,Not applicable,137.7871321,
Armenia,2007,Not applicable,126.4608801,
Armenia,2006,Not applicable,121.1136722,
Armenia,2005,Not applicable,117.0067358,4
Armenia,2004,Not applicable,116.256158,
Armenia,2003,Not applicable,109.1673679,
Armenia,2002,Not applicable,104.2469136,4
Armenia,2001,Not applicable,103.1358025,
Armenia,2000,Not applicable,100,
Armenia,1999,Not applicable,100.7901235,
Armenia,1998,Not applicable,100.1481482,
Armenia,1997,Not applicable,92.14814815,
Armenia,1996,Not applicable,80.86419753,
Armenia,1995,Not applicable,68.14814815,
Armenia,1994,Not applicable,24.69135803,
Armenia,1993,Not applicable,0.493827161,
Aruba,2008,Not applicable,138.9822843,4
Aruba,2007,Not applicable,128.2709322,
Aruba,2006,Not applicable,121.0361695,
Aruba,2005,Not applicable,116.7839831,
Aruba,2004,Not applicable,112.955,
Aruba,2003,Not applicable,110.2344068,
Aruba,2002,Not applicable,106.304661,
Aruba,2001,Not applicable,102.8787288,4
Aruba,2000,Not applicable,100,
Aruba,1999,Not applicable,96.10169492,
Aruba,1998,Not applicable,93.98305085,
Aruba,1997,Not applicable,92.28813559,
Aruba,1996,Not applicable,89.57627119,
Aruba,1995,Not applicable,86.77966102,4
Aruba,1994,Not applicable,83.96469577,
Aruba,1993,Not applicable,78.99934167,
Aruba,1992,Not applicable,75.03821649,
Aruba,1991,Not applicable,72.24869171,
Aruba,1990,Not applicable,68.45493802,
Aruba,1989,Not applicable,64.66118432,
Aruba,1988,Not applicable,62.20640252,
Aruba,1987,Not applicable,60.30952567,
Aruba,1986,Not applicable,58.18948684,
Aruba,1985,Not applicable,57.57579139,
Aruba,1984,Not applicable,55.51154305,
Australia,2008,Not applicable,128.3489097,
Australia,2007,Not applicable,123.0529595,
Australia,2006,Not applicable,120.2492212,
Australia,2005,Not applicable,116.1214953,
Australia,2004,Not applicable,113.0841122,
Australia,2003,Not applicable,110.5140187,
Australia,2002,Not applicable,107.5545171,
Australia,2001,Not applicable,104.3613707,
Australia,2000,Not applicable,100,
Australia,1999,Not applicable,95.7165109,
Australia,1998,Not applicable,94.31464175,
Australia,1997,Not applicable,93.53582555,
Australia,1996,Not applicable,93.30218069,
Australia,1995,Not applicable,90.96573209,
Australia,1994,Not applicable,86.91588785,
Australia,1993,Not applicable,85.28037383,
Australia,1992,Not applicable,83.80062305,
Australia,1991,Not applicable,82.94392523,
Australia,1990,Not applicable,80.37383178,4
Australia,1989,Not applicable,74.91725971,
Australia,1988,Not applicable,69.6450313,
Australia,1987,Not applicable,64.96270256,
Australia,1986,Not applicable,59.8748178,
Australia,1985,Not applicable,54.89753923,
Australia,1984,Not applicable,51.43187859,
Australia,1983,Not applicable,49.47783589,
Australia,1982,Not applicable,44.94298208,
Australia,1981,Not applicable,40.444997,
Australia,1980,Not applicable,36.86873017,
Australia,1979,Not applicable,33.476807,
Australia,1978,Not applicable,30.6747835,
Australia,1977,Not applicable,28.42579096,
Australia,1976,Not applicable,25.32881763,
Australia,1975,Not applicable,22.30558175,
Australia,1974,Not applicable,19.39295207,
Australia,1973,Not applicable,16.84900969,
Australia,1972,Not applicable,15.37426048,
Australia,1971,Not applicable,14.52627969,
Australia,1970,Not applicable,13.71516762,
Australia,1969,Not applicable,13.16213667,
Austria,2008,Not applicable,118.342,
Austria,2007,Not applicable,114.6922,
Austria,2006,Not applicable,112.259,4
Austria,2005,Not applicable,110.6,
Austria,2004,Not applicable,108.1,
Austria,2003,Not applicable,105.9,
Austria,2002,Not applicable,104.5,
Austria,2001,Not applicable,102.7,
Austria,2000,Not applicable,100,4
Austria,1999,Not applicable,97.71863118,
Austria,1998,Not applicable,97.14828897,
Austria,1997,Not applicable,96.29277567,
Austria,1996,Not applicable,95.05703422,4
Austria,1995,Not applicable,93.31286846,
Austria,1994,Not applicable,91.2780084,
Austria,1993,Not applicable,88.58908617,
Austria,1992,Not applicable,85.53679608,
Austria,1991,Not applicable,82.1938117,
Austria,1990,Not applicable,79.57756305,
Austria,1989,Not applicable,77.03398798,
Austria,1988,Not applicable,75.14447506,
Austria,1987,Not applicable,73.69100359,
Austria,1986,Not applicable,72.67357356,4
Austria,1985,Not applicable,71.45845272,
Austria,1984,Not applicable,69.2151527,
Austria,1983,Not applicable,65.52305475,
Austria,1982,Not applicable,63.41996098,
Austria,1981,Not applicable,60.14848179,
Austria,1980,Not applicable,56.31617758,
Austria,1979,Not applicable,52.95122755,
Austria,1978,Not applicable,51.08181087,
Austria,1977,Not applicable,49.30586502,4
Austria,1976,Not applicable,46.73541708,
Austria,1975,Not applicable,43.53983301,
Austria,1974,Not applicable,40.15783986,
Austria,1973,Not applicable,36.66932725,
Austria,1972,Not applicable,34.08623012,
Austria,1971,Not applicable,32.06236021,
Austria,1970,Not applicable,30.62434738,
Austria,1969,Not applicable,29.34611375,
Azerbaijan,2008,Not applicable,190.5594304,
Azerbaijan,2007,Not applicable,157.7094126,
Azerbaijan,2006,Not applicable,135.1855604,
Azerbaijan,2005,Not applicable,124.7918656,
Azerbaijan,2004,Not applicable,113.8502204,
Azerbaijan,2003,Not applicable,106.6921348,
Azerbaijan,2002,Not applicable,104.3604511,
Azerbaijan,2001,Not applicable,101.5473813,
Azerbaijan,2000,Not applicable,100,
Azerbaijan,1999,Not applicable,98.22687852,
Azerbaijan,1998,Not applicable,107.3809317,
Azerbaijan,1997,Not applicable,108.217328,
Azerbaijan,1996,Not applicable,104.3469453,
Azerbaijan,1995,Not applicable,87.06528136,
Azerbaijan,1994,Not applicable,17.01251218,
Azerbaijan,1993,Not applicable,0.96470157,
Azerbaijan,1992,Not applicable,0.07848812,
Azerbaijan,1991,Not applicable,0.007717613,
Bahamas,2008,New Providence,120.7944146,
Bahamas,2007,New Providence,115.6052458,
Bahamas,2006,New Providence,112.7842249,
Bahamas,2005,New Providence,110.7557317,
Bahamas,2004,New Providence,108.6328899,
Bahamas,2003,New Providence,107.3686197,
Bahamas,2002,New Providence,104.2079442,
Bahamas,2001,New Providence,102.1134069,
Bahamas,2000,New Providence,100,
Bahamas,1999,New Providence,98.40550995,
Bahamas,1998,New Providence,97.17897915,
Bahamas,1997,New Providence,95.85809982,
Bahamas,1996,New Providence,95.3863572,
Bahamas,1995,New Providence,94.06547788,4
Bahamas,1994,New Providence,92.06373014,
Bahamas,1993,New Providence,90.85413369,
Bahamas,1992,New Providence,88.43494078,
Bahamas,1991,New Providence,83.73095457,
Bahamas,1990,New Providence,78.01897131,
Bahamas,1989,New Providence,74.59178136,
Bahamas,1988,New Providence,70.76139258,
Bahamas,1987,New Providence,67.80460125,
Bahamas,1986,New Providence,64.10861209,
Bahamas,1985,New Providence,60.81582174,
Bahamas,1984,New Providence,58.12782962,
Bahamas,1983,New Providence,55.91023612,
Bahamas,1982,New Providence,53.75984242,
Bahamas,1981,New Providence,50.66865148,
Bahamas,1980,New Providence,45.56146645,
Bahamas,1979,New Providence,40.72308063,
Bahamas,1978,New Providence,37.29589068,
Bahamas,1977,New Providence,35.07829718,
Bahamas,1976,New Providence,34.07030013,
Bahrain,2008,Not applicable,114.4384917,15
Bahrain,2007,Not applicable,110.5846229,15
Bahrain,2006,Not applicable,107.0519099,"4,15"
Bahrain,2005,Not applicable,104.8971597,15
Bahrain,2004,Not applicable,102.2526934,15
Bahrain,2003,Not applicable,100,15
Bahrain,2002,Not applicable,98.33496572,15
Bahrain,2001,Not applicable,98.82468169,15
Bahrain,2000,Not applicable,100,15
Bahrain,1999,Not applicable,100.6856024,15
Bahrain,1998,Not applicable,102.0568071,15
Bahrain,1997,Not applicable,102.4485798,"13,15"
Bahrain,1996,Not applicable,106.6736184,15
Bahrain,1995,Not applicable,106.8821689,15
Bahrain,1994,Not applicable,103.649635,15
Bahrain,1993,Not applicable,103.2325339,15
Bahrain,1992,Not applicable,100.6256517,15
Bahrain,1991,Not applicable,100.9384776,15
Bahrain,1990,Not applicable,100,15
Bahrain,1989,Not applicable,98.74869656,15
Bahrain,1988,Not applicable,97.28884254,15
Bahrain,1987,Not applicable,97.39311783,15
Bahrain,1986,Not applicable,99.16579771,15
Bahrain,1985,Not applicable,101.2513034,"15,16"
Bahrain,1984,Not applicable,100,15
Bahrain,1983,Not applicable,99.39081537,15
Bahrain,1982,Not applicable,99.53139644,15
Bahrain,1981,Not applicable,92.87722587,15
Bahrain,1980,Not applicable,83.41143393,15
Bahrain,1979,Not applicable,80.31865042,15
Bahrain,1978,Not applicable,78.58481725,15
Bahrain,1977,Not applicable,67.90065605,15
Bahrain,1976,Not applicable,57.63823805,15
Bahrain,1975,Not applicable,49.2502343,"15,17"
Bangladesh,2008,Not applicable,160.7224275,18
Bangladesh,2007,Not applicable,147.5827033,18
Bangladesh,2006,Not applicable,135.2642119,18
Bangladesh,2005,Not applicable,126.6851201,18
Bangladesh,2004,Not applicable,118.3531955,18
Bangladesh,2003,Not applicable,111.5441394,"4,18"
Bangladesh,2002,Not applicable,105.3819225,18
Bangladesh,2001,Not applicable,101.535282,18
Bangladesh,2000,Not applicable,100,18
Bangladesh,1999,Not applicable,97.86578936,18
Bangladesh,1998,Not applicable,92.15487789,18
Bangladesh,1997,Not applicable,84.91290227,18
Bangladesh,1996,Not applicable,80.76679742,18
Bangladesh,1995,Not applicable,78.94892235,18
Bangladesh,1994,Not applicable,71.63102619,18
Bangladesh,1989,Dhaka,100,"18,19"
Bangladesh,1988,Dhaka,89.74572161,"18,19"
Bangladesh,1987,Dhaka,81.75015589,"18,19"
Bangladesh,1986,Dhaka,74.79387515,"18,19"
Bangladesh,1985,Dhaka,66.99230929,"18,19"
Bangladesh,1984,Dhaka,61.44252754,"18,19"
Bangladesh,1983,Dhaka,54.81881799,"18,19"
Bangladesh,1982,Dhaka,50.75174946,"18,19"
Bangladesh,1981,Dhaka,46.43525255,"18,19"
Bangladesh,1980,Dhaka,41.01711356,"18,19"
Bangladesh,1979,Dhaka,36.22947412,"18,19"
Bangladesh,1978,Dhaka,32.15547703,"18,19"
Bangladesh,1977,Dhaka,28.40712257,"18,19"
Bangladesh,1976,Dhaka,25.74655304,"18,19"
Bangladesh,1975,Dhaka,28.47640823,"18,19"
Bangladesh,1974,Dhaka,22.89198365,"18,19"
Bangladesh,1973,Dhaka,14.81327513,"18,19"
Bangladesh,1972,Dhaka,10.21270699,"4,18,19"
Bangladesh,1971,Dhaka,7.946762627,"18,19,20"
Bangladesh,1970,Dhaka,7.06910812,"18,19"
Bangladesh,1969,Dhaka,6.8297478,"18,19"
Barbados,2008,Not applicable,135.7710369,
Barbados,2007,Not applicable,125.6637532,
Barbados,2006,Not applicable,120.7664096,
Barbados,2005,Not applicable,112.5347044,
Barbados,2004,Not applicable,106.0743788,
Barbados,2003,Not applicable,104.6155955,
Barbados,2002,Not applicable,102.9796744,
Barbados,2001,Not applicable,102.5628792,4
Barbados,2000,Not applicable,100,
Barbados,1999,Not applicable,97.60068552,
Barbados,1998,Not applicable,96.14395887,
Barbados,1997,Not applicable,97.34361611,
Barbados,1996,Not applicable,90.40274207,
Barbados,1995,Not applicable,88.260497,4
Barbados,1994,Not applicable,86.10943956,
Barbados,1993,Not applicable,86.06747589,
Barbados,1992,Not applicable,85.10231161,
Barbados,1991,Not applicable,80.23452653,
Barbados,1990,Not applicable,75.49263244,
Barbados,1989,Not applicable,73.26855822,
Barbados,1988,Not applicable,68.98826444,
Barbados,1987,Not applicable,65.79902594,
Barbados,1986,Not applicable,63.65887905,
Barbados,1985,Not applicable,62.81960576,
Barbados,1984,Not applicable,60.46964055,
Barbados,1983,Not applicable,57.78396602,
Barbados,1982,Not applicable,54.88847317,
Barbados,1981,Not applicable,49.7689061,
Barbados,1980,Not applicable,43.43239276,4
Barbados,1979,Not applicable,38.02130383,
Barbados,1978,Not applicable,33.59544918,
Barbados,1977,Not applicable,30.68652051,
Barbados,1976,Not applicable,28.32190058,
Barbados,1975,Not applicable,26.97451338,
Barbados,1974,Not applicable,22.4237354,
Barbados,1973,Not applicable,16.14187717,
Barbados,1972,Not applicable,13.81294962,
Barbados,1971,Not applicable,12.34956219,
Barbados,1970,Not applicable,11.49294516,
Barbados,1969,Not applicable,10.65417432,
Belarus,2008,Not applicable,512.0191958,21
Belarus,2007,Not applicable,445.8932298,21
Belarus,2006,Not applicable,411.1888877,21
Belarus,2005,Not applicable,384.2886801,21
Belarus,2004,Not applicable,348.3399928,21
Belarus,2003,Not applicable,295.0033815,21
Belarus,2002,Not applicable,229.7534124,21
Belarus,2001,Not applicable,161.1400003,21
Belarus,2000,Not applicable,100.0000002,21
Belarus,1999,Not applicable,37.23008197,21
Belarus,1998,Not applicable,9.455499051,21
Belarus,1997,Not applicable,5.464658739,21
Belarus,1996,Not applicable,3.335348133,21
Belarus,1995,Not applicable,2.18439521,21
Belarus,1994,Not applicable,0.269914647,21
Belarus,1993,Not applicable,0.011629292,21
Belarus,1992,Not applicable,0.000901342,"13,21"
Belarus,1991,Not applicable,195.7007739,21
Belarus,1990,Not applicable,100,21
Belarus,1989,Not applicable,95.61478934,21
Belarus,1988,Not applicable,93.98108341,21
Belarus,1987,Not applicable,93.89509888,21
Belarus,1986,Not applicable,92.51934652,21
Belarus,1985,Not applicable,90.36973345,21
Belarus,1984,Not applicable,90.02579536,21
Belarus,1983,Not applicable,90.62768702,21
Belarus,1982,Not applicable,89.68185727,21
Belarus,1981,Not applicable,87.01633706,21
Belarus,1980,Not applicable,85.98452279,"4,21"
Belarus,1979,Not applicable,85.06534907,21
Belarus,1978,Not applicable,84.06261411,21
Belarus,1977,Not applicable,83.31056289,21
Belarus,1976,Not applicable,83.1434404,21
Belarus,1975,Not applicable,83.05987915,21
Belarus,1974,Not applicable,82.97631791,21
Belarus,1973,Not applicable,83.05987915,21
Belarus,1972,Not applicable,83.05987915,21
Belarus,1971,Not applicable,83.22700165,21
Belarus,1970,Not applicable,83.56124663,21
Belarus,1969,Not applicable,83.56124663,21
Belgium,2008,Not applicable,120.2557346,
Belgium,2007,Not applicable,115.0812379,
Belgium,2006,Not applicable,113.0287236,
Belgium,2005,Not applicable,111.0410255,
Belgium,2004,Not applicable,108.0270702,4
Belgium,2003,Not applicable,105.8088166,
Belgium,2002,Not applicable,104.1545258,
Belgium,2001,Not applicable,102.4720369,
Belgium,2000,Not applicable,100,
Belgium,1999,Not applicable,97.51856378,
Belgium,1998,Not applicable,96.43763512,
Belgium,1997,Not applicable,95.52589529,
Belgium,1996,Not applicable,93.99379641,4
Belgium,1995,Not applicable,92.09446768,
Belgium,1994,Not applicable,90.76187413,
Belgium,1993,Not applicable,88.65576365,
Belgium,1992,Not applicable,86.28160273,
Belgium,1991,Not applicable,84.2444195,
Belgium,1990,Not applicable,81.60986674,
Belgium,1989,Not applicable,78.89106957,
Belgium,1988,Not applicable,76.58583591,4
Belgium,1987,Not applicable,75.63474037,
Belgium,1986,Not applicable,74.47983865,
Belgium,1985,Not applicable,73.52308183,
Belgium,1984,Not applicable,70.1093282,
Belgium,1983,Not applicable,65.92564009,4
Belgium,1982,Not applicable,61.55721382,
Belgium,1981,Not applicable,56.61282962,
Belgium,1980,Not applicable,52.60337008,
Belgium,1979,Not applicable,49.32559071,
Belgium,1978,Not applicable,47.21554334,
Belgium,1977,Not applicable,45.19418448,
Belgium,1976,Not applicable,42.19725205,22
Belgium,1975,Not applicable,38.6528677,
Belgium,1974,Not applicable,34.27778386,
Belgium,1973,Not applicable,30.42058911,
Belgium,1972,Not applicable,28.44343963,
Belgium,1971,Not applicable,26.97338988,4
Belgium,1970,Not applicable,25.85034942,
Belgium,1969,Not applicable,24.87931646,
Belize,2008,Not applicable,128.608703,
Belize,2007,Not applicable,120.865247,
Belize,2006,Not applicable,118.1718711,
Belize,2005,Not applicable,113.1217911,
Belize,2004,Not applicable,109.3342311,
Belize,2003,Not applicable,106.0853464,
Belize,2002,Not applicable,103.3751368,
Belize,2001,Not applicable,101.1531016,
Belize,2000,Not applicable,100,
Belize,1999,Not applicable,99.39399041,
Belize,1998,Not applicable,100.6060096,
Belize,1997,Not applicable,101.4645232,
Belize,1996,Not applicable,100.4376736,
Belize,1995,Not applicable,94.37757765,
Belize,1994,Not applicable,91.72628567,
Belize,1993,Not applicable,89.42849929,
Belize,1992,Not applicable,88.1238953,
Belize,1991,Not applicable,86.06177931,4
Belize,1990,Not applicable,81.52159166,
Belize,1989,Not applicable,79.15060477,
Belize,1988,Not applicable,77.4858693,
Belize,1987,Not applicable,75.11488241,
Belize,1986,Not applicable,73.65193306,
Belize,1985,Not applicable,73.0465747,
Belize,1984,Not applicable,70.37290864,
Belize,1983,Not applicable,68.10281481,
